index,n_layers,n_neurons,mean_loss,std_loss,num_runs,95%_CI,ci95_lower,ci95_upper
0,1-layer,1,0.39975305,0.012273252802220858,10,0.007607040898196147,0.39214600910180386,0.40736009089819614
1,1-layer,128,0.36801996,0.010932328758239133,10,0.0067759275651360015,0.36124403243486397,0.374795887565136
2,1-layer,16,0.36800356,0.0018493603988646613,10,0.001146245450686241,0.36685731454931375,0.36914980545068626
3,1-layer,2,0.40281745999999996,0.025324497769779283,10,0.015696286336261966,0.387121173663738,0.4185137463362619
4,1-layer,256,0.36358233,0.003922203468587529,10,0.0024310068958404572,0.36115132310415954,0.3660133368958405
5,1-layer,32,0.36650484,0.0029085210816954155,10,0.0018027200431917395,0.36470211995680824,0.36830756004319176
6,1-layer,4,0.38052467,0.006251557655683361,10,0.0038747555787011314,0.37664991442129886,0.38439942557870116
7,1-layer,512,0.36194503,0.001333469311441239,10,0.0008264928419617852,0.3611185371580382,0.3627715228419618
8,1-layer,64,0.36754001000000003,0.006755502526163386,10,0.004187103845452716,0.3633529061545473,0.37172711384545276
9,1-layer,8,0.37613649000000005,0.010725110850237807,10,0.006647492575129155,0.3694889974248709,0.3827839825751292
10,2-layer,1-1,0.42600137,0.020189731713150624,10,0.012513725362012697,0.4134876446379873,0.43851509536201266
11,2-layer,128-64,0.36565339999999996,0.003857318448525267,10,0.0023907907437536536,0.3632626092562463,0.3680441907437536
12,2-layer,16-8,0.38796289,0.018304420951504825,10,0.011345197645623301,0.3766176923543767,0.3993080876456233
13,2-layer,2-1,0.42299936000000005,0.019488834042440253,10,0.012079304484967012,0.410920055515033,0.43507866448496707
14,2-layer,256-128,0.40410050000000003,0.048483033989427694,10,0.030050095795262473,0.37405040420473756,0.4341505957952625
15,2-layer,32-16,0.38157013,0.021087262546225487,10,0.013070020735750709,0.3685001092642493,0.3946401507357507
16,2-layer,4-2,0.43027819,0.040513108199348405,10,0.025110284612545632,0.4051679053874544,0.4553884746125456
17,2-layer,48-24,0.39017677,0.0062933338515271655,10,0.0039006487331464928,0.3862761212668535,0.3940774187331465
18,2-layer,512-256,0.39688961,0.06002910090554136,10,0.03720642221170302,0.359683187788297,0.434096032211703
19,2-layer,64-32,0.39781725,0.052741082806632936,10,0.03268926179477116,0.36512798820522885,0.4305065117947712
20,2-layer,8-4,0.39788032,0.022545917235415866,10,0.013974104278705919,0.3839062157212941,0.41185442427870594
21,3-layer,1-1-1,0.45288361000000005,0.06861871586533563,10,0.04253032072107691,0.4103532892789231,0.495413930721077
22,3-layer,128-64-32,0.38462427,0.022598170557618653,10,0.014006491223346325,0.37061777877665364,0.39863076122334634
23,3-layer,16-8-4,0.40297704999999995,0.013060761925813427,10,0.008095144109904397,0.39488190589009553,0.41107219410990437
24,3-layer,2-1-1,0.45668481000000005,0.058681312953490106,10,0.03637105458434553,0.4203137554156545,0.4930558645843456
25,3-layer,256-128-64,0.42474938,0.06802236680100647,10,0.04216069974161399,0.382588680258386,0.466910079741614
26,3-layer,32-16-8,0.40385736000000005,0.024241552789933046,10,0.01502507008373795,0.3888322899162621,0.418882430083738
27,3-layer,4-2-1,0.44703336,0.04997324616454956,10,0.030973738870641043,0.41605962112935896,0.478007098870641
28,3-layer,512-256-128,0.42354061000000004,0.08652456512825898,10,0.05362848107473196,0.3699121289252681,0.477169091074732
29,3-layer,64-32-16,0.41459256,0.03199479091057723,10,0.019830576857502225,0.3947619831424978,0.4344231368575022
30,3-layer,8-4-2,0.43726865000000004,0.056039244902087226,10,0.03473348384032873,0.40253516615967133,0.47200213384032874
